Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA,week,year,game_id
3.0,1:45,2.0,2.0,JAX 26,10.0,20.0,"Patrick Mahomes pass complete to Kadarius Toney for 22 yards (tackle by Montaric Brown). Penalty on Montaric Brown: Illegal Contact, 5 yards (declined)",3.85,0.0,10.0,2022,144
3.0,1:24,1.0,10.0,JAX 4,10.0,20.0,"Patrick Mahomes aborted snap, recovered by Patrick Mahomes at JAC-7 and returned for -3 yards (tackle by Corey Peters)",0.0,4.76,10.0,2022,144
3.0,0:43,2.0,7.0,JAX 7,10.0,26.0,"Patrick Mahomes pass complete short left to Travis Kelce for 7 yards, touchdown",4.76,7.0,10.0,2022,144
3.0,0:38,,,JAX 15,10.0,27.0,Harrison Butker kicks extra point good,0.0,0.0,10.0,2022,144
3.0,0:38,,,KAN 35,10.0,27.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,144
3.0,0:38,1.0,10.0,JAX 25,10.0,27.0,Trevor Lawrence pass complete short right to Christian Kirk for 10 yards (tackle by Willie Gay),0.61,1.27,10.0,2022,144
4.0,15:00,1.0,10.0,JAX 35,10.0,27.0,Trevor Lawrence pass complete short right to Travis Etienne for 3 yards (tackle by Nick Bolton),1.27,1.13,10.0,2022,144
4.0,14:24,2.0,7.0,JAX 38,10.0,27.0,Trevor Lawrence pass complete short left to Zay Jones for 8 yards (tackle by L'Jarius Sneed and Trent McDuffie),1.13,1.99,10.0,2022,144
4.0,13:47,1.0,10.0,JAX 46,10.0,27.0,Trevor Lawrence pass complete short left to Evan Engram for 4 yards (tackle by Justin Reid and Nick Bolton),1.99,1.99,10.0,2022,144
4.0,13:07,2.0,6.0,JAX 50,10.0,27.0,Trevor Lawrence pass complete short middle to Jamycal Hasty for -1 yards (tackle by Carlos Dunlap),1.99,1.16,10.0,2022,144
4.0,12:25,3.0,7.0,JAX 49,10.0,27.0,Trevor Lawrence pass incomplete deep left intended for Zay Jones (defended by Trent McDuffie),1.16,-0.13,10.0,2022,144
4.0,12:19,4.0,7.0,JAX 49,10.0,27.0,"Logan Cooke punts 48 yards, returned by Kadarius Toney for 4 yards (tackle by Daniel Thomas)",-0.13,0.38,10.0,2022,144
4.0,12:08,1.0,10.0,KAN 7,10.0,27.0,Isiah Pacheco right guard for 3 yards (tackle by Folorunso Fatukasi),-0.38,-0.56,10.0,2022,144
4.0,11:28,2.0,7.0,KAN 10,10.0,27.0,Patrick Mahomes pass complete short middle to Travis Kelce for 12 yards (tackle by Foyesade Oluokun),-0.56,0.41,10.0,2022,144
4.0,10:50,1.0,10.0,KAN 22,10.0,27.0,Isiah Pacheco right guard for 11 yards (tackle by Chad Muma and Josh Allen),0.41,1.14,10.0,2022,144
4.0,10:14,1.0,10.0,KAN 33,10.0,27.0,Patrick Mahomes pass incomplete short right intended for Kadarius Toney,1.14,0.59,10.0,2022,144
4.0,10:09,2.0,10.0,KAN 33,10.0,27.0,Patrick Mahomes pass complete short left to Marquez Valdes-Scantling for 6 yards (tackle by Tyson Campbell),0.59,0.7,10.0,2022,144
4.0,9:34,3.0,4.0,KAN 39,10.0,27.0,Patrick Mahomes pass complete short middle to Jerick McKinnon for 10 yards (tackle by Darious Williams),0.7,2.19,10.0,2022,144
4.0,8:48,1.0,10.0,KAN 49,10.0,27.0,Kadarius Toney left end for 1 yard (tackle by Chad Muma),2.19,1.78,10.0,2022,144
4.0,8:07,2.0,9.0,KAN 50,10.0,27.0,Patrick Mahomes pass short middle intended for Jerick McKinnon is intercepted by Andre Cisco at JAC-38 and returned for 8 yards (tackle by Marquez Valdes-Scantling),1.78,-1.99,10.0,2022,144
4.0,7:55,1.0,10.0,JAX 46,10.0,27.0,Trevor Lawrence pass complete short left to Christian Kirk for 11 yards,1.99,2.72,10.0,2022,144
4.0,7:25,1.0,10.0,KAN 43,10.0,27.0,Travis Etienne up the middle for 4 yards (tackle by Carlos Dunlap),2.72,2.72,10.0,2022,144
4.0,7:00,2.0,6.0,KAN 39,10.0,27.0,Trevor Lawrence scrambles left end for 3 yards (tackle by Michael Danna),2.72,2.41,10.0,2022,144
4.0,6:30,3.0,3.0,KAN 36,10.0,27.0,Trevor Lawrence pass incomplete deep left intended for Marvin Jones (defended by Trent McDuffie),2.41,0.89,10.0,2022,144
4.0,6:23,4.0,3.0,KAN 36,10.0,27.0,Trevor Lawrence pass complete short left to Zay Jones for 10 yards (tackle by Juan Thornhill),0.89,3.84,10.0,2022,144
4.0,6:00,1.0,10.0,KAN 26,10.0,27.0,Trevor Lawrence pass complete short left to Zay Jones for 7 yards (tackle by Trent McDuffie),3.84,4.27,10.0,2022,144
4.0,5:37,2.0,3.0,KAN 19,10.0,27.0,Trevor Lawrence pass incomplete deep right intended for Marvin Jones,4.27,3.57,10.0,2022,144
4.0,5:32,3.0,3.0,KAN 19,16.0,27.0,"Trevor Lawrence pass complete deep right to Christian Kirk for 19 yards, touchdown",3.57,7.0,10.0,2022,144
4.0,5:26,,,KAN 15,17.0,27.0,Riley Patterson kicks extra point good,0.0,0.0,10.0,2022,144
4.0,5:26,,,JAX 35,17.0,27.0,"Riley Patterson kicks off 63 yards, returned by Skyy Moore for 8 yards (tackle by Caleb Johnson)",0.0,-0.38,10.0,2022,144
4.0,5:20,1.0,10.0,KAN 10,17.0,27.0,Isiah Pacheco left end for 2 yards (tackle by Josh Allen and Travon Walker),-0.38,-0.63,10.0,2022,144
4.0,4:41,2.0,8.0,KAN 12,17.0,27.0,Patrick Mahomes scrambles up the middle for 1 yard (tackle by Josh Allen),-0.63,-1.07,10.0,2022,144
4.0,4:33,,,,,,Timeout #1 by Jacksonville Jaguars,,,10.0,2022,144
4.0,4:33,3.0,7.0,KAN 13,17.0,27.0,"Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 36 yards (tackle by Darious Williams) JAX challenged the pass completion ruling, and the play was upheld.",-1.07,2.19,10.0,2022,144
4.0,4:27,1.0,10.0,KAN 49,17.0,27.0,Isiah Pacheco up the middle for 4 yards (tackle by DaVon Hamilton),2.19,2.19,10.0,2022,144
4.0,4:23,,,,,,Timeout #3 by Jacksonville Jaguars,,,10.0,2022,144
4.0,4:23,2.0,6.0,JAX 47,17.0,27.0,Isiah Pacheco left end for 5 yards (tackle by Josh Allen),2.19,2.15,10.0,2022,144
4.0,3:42,3.0,1.0,JAX 42,17.0,27.0,Michael Burton left guard for -1 yards (tackle by Folorunso Fatukasi),2.15,0.4,10.0,2022,144
4.0,2:56,,,,,,Timeout #1 by Kansas City Chiefs,,,10.0,2022,144
4.0,2:56,4.0,2.0,JAX 43,17.0,27.0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Chad Muma),0.4,2.98,10.0,2022,144
4.0,2:13,1.0,10.0,JAX 39,17.0,27.0,Jerick McKinnon left guard for 2 yards (tackle by Roy Robertson-Harris),2.98,2.71,10.0,2022,144
4.0,2:00,2.0,8.0,JAX 37,17.0,27.0,Isiah Pacheco left guard for 4 yards (tackle by Chad Muma),2.71,2.54,10.0,2022,144
4.0,1:16,3.0,4.0,JAX 33,17.0,27.0,Isiah Pacheco left end for 5 yards (tackle by Josh Allen and Chad Muma),2.54,3.71,10.0,2022,144
4.0,0:35,1.0,10.0,JAX 28,17.0,27.0,Patrick Mahomes kneels for -1 yards,3.71,3.03,10.0,2022,144
