Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA,week,year,game_id
4.0,7:41,4.0,3.0,PHI 39,30.0,14.0,Matthew Stafford pass complete short left to Tutu Atwell for 7 yards (tackle by Quinyon Mitchell),0.66,3.45,12.0,2024,178
4.0,7:07,1.0,10.0,PHI 32,30.0,14.0,Matthew Stafford pass complete short right to Cooper Kupp for 1 yard (tackle by Cooper DeJean),3.45,3.04,12.0,2024,178
4.0,6:29,2.0,9.0,PHI 31,30.0,14.0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,3.04,2.34,12.0,2024,178
4.0,6:23,3.0,9.0,PHI 31,30.0,14.0,"Matthew Stafford pass complete short right to Puka Nacua for no gain (tackle by Isaiah Rodgers and Reed Blankenship). Penalty on Puka Nacua: Offensive Pass Interference, 10 yards (accepted) (no play)",2.34,1.03,12.0,2024,178
4.0,5:58,3.0,19.0,PHI 41,30.0,14.0,"Matthew Stafford sacked by Milton Williams for -14 yards. Matthew Stafford fumbles (forced by Milton Williams), recovered by Beaux Limmer at LA-45",1.03,-0.39,12.0,2024,178
4.0,5:19,4.0,33.0,LAR 45,30.0,14.0,"Ethan Evans punts 46 yards, fair catch by Britain Covey at PHI-9",-0.39,0.38,12.0,2024,178
4.0,5:13,1.0,10.0,PHI 9,30.0,14.0,Saquon Barkley up the middle for 6 yards (tackle by Bobby Brown and Tyler Davis),-0.38,-0.28,12.0,2024,178
4.0,5:07,,,,,,Timeout #1 by Los Angeles Rams,,,12.0,2024,178
4.0,5:07,2.0,4.0,PHI 15,30.0,14.0,Saquon Barkley left tackle for 3 yards (tackle by Christian Rozeboom and Michael Hoecht),-0.28,-0.37,12.0,2024,178
4.0,5:03,,,,,,Timeout #2 by Los Angeles Rams,,,12.0,2024,178
4.0,5:03,3.0,1.0,PHI 18,30.0,14.0,Jalen Hurts up the middle for no gain (tackle by Christian Rozeboom and Jared Verse),-0.37,-2.24,12.0,2024,178
4.0,4:19,4.0,1.0,PHI 18,30.0,14.0,"Penalty on Bobby Brown: Defensive Offside, 6 yards (accepted) (no play)",-2.24,0.54,12.0,2024,178
4.0,4:19,1.0,10.0,PHI 24,30.0,14.0,Saquon Barkley right guard for 1 yard (tackle by Kobie Turner),0.54,0.13,12.0,2024,178
4.0,3:39,2.0,9.0,PHI 25,30.0,14.0,Kenneth Gainwell up the middle for 3 yards (tackle by Christian Rozeboom),0.13,-0.16,12.0,2024,178
4.0,2:54,3.0,6.0,PHI 28,36.0,14.0,"Saquon Barkley left tackle for 72 yards, touchdown",-0.16,7.0,12.0,2024,178
4.0,2:44,,,LAR 15,37.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,12.0,2024,178
4.0,2:44,,,PHI 35,37.0,14.0,"Braden Mann kicks off 65 yards, returned by Xavier Smith for 32 yards (tackle by Tristin McCollum)",0.0,1.07,12.0,2024,178
4.0,2:37,1.0,10.0,LAR 32,37.0,14.0,Kyren Williams up the middle for 11 yards (tackle by Jeremiah Trotter and C.J. Gardner-Johnson),1.07,1.8,12.0,2024,178
4.0,2:16,1.0,10.0,LAR 43,37.0,14.0,Matthew Stafford pass incomplete short right,1.8,1.25,12.0,2024,178
4.0,2:13,2.0,10.0,LAR 43,37.0,14.0,Matthew Stafford pass complete short right to Puka Nacua for 7 yards (tackle by Jeremiah Trotter),1.25,1.49,12.0,2024,178
4.0,2:00,3.0,3.0,LAR 50,37.0,14.0,Matthew Stafford pass incomplete short middle intended for Colby Parkinson (defended by Jeremiah Trotter),1.49,-0.06,12.0,2024,178
