Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,8:53,3.0,14.0,NYJ 26,22.0,24.0,Aaron Rodgers pass complete deep right to Xavier Gipson for 17 yards,-0.82,1.8,11.0,2024,160
4.0,8:10,1.0,10.0,NYJ 43,22.0,24.0,Aaron Rodgers pass complete short left to Garrett Wilson for 4 yards (tackle by DeForest Buckner),1.8,1.79,11.0,2024,160
4.0,7:36,2.0,6.0,NYJ 47,22.0,24.0,"Braelon Allen left end for 2 yards (tackle by Jaylon Jones). Penalty on Olumuyiwa Fashanu: Offensive Holding, 10 yards (accepted)",1.79,0.71,11.0,2024,160
4.0,7:07,2.0,14.0,NYJ 39,22.0,24.0,Aaron Rodgers pass complete short right to Malachi Corley for 10 yards (tackle by Kenny Moore),0.71,1.35,11.0,2024,160
4.0,6:26,3.0,4.0,NYJ 49,22.0,24.0,Aaron Rodgers pass complete short middle to Jeremy Ruckert for 6 yards (tackle by Kenny Moore),1.35,2.59,11.0,2024,160
4.0,5:47,1.0,10.0,IND 45,22.0,24.0,Breece Hall right guard for 1 yard (tackle by Kenny Moore and Grant Stuard),2.59,2.18,11.0,2024,160
4.0,4:53,,,,,,Timeout #1 by New York Jets,,,11.0,2024,160
4.0,4:53,2.0,9.0,IND 44,22.0,24.0,Aaron Rodgers pass complete short left to Davante Adams for 19 yards (tackle by Julian Blackmon),2.18,3.91,11.0,2024,160
4.0,4:12,1.0,10.0,IND 25,22.0,24.0,Breece Hall up the middle for no gain (tackle by Raekwon Davis and Dayo Odeyingbo),3.91,3.36,11.0,2024,160
4.0,3:34,2.0,10.0,IND 25,22.0,24.0,Aaron Rodgers pass incomplete short right intended for Davante Adams,3.36,2.68,11.0,2024,160
4.0,3:30,3.0,10.0,IND 25,22.0,24.0,Aaron Rodgers pass complete short middle to Breece Hall for 8 yards (tackle by Dayo Odeyingbo and Zaire Franklin),2.68,2.44,11.0,2024,160
4.0,2:44,,,,,,Timeout #2 by New York Jets,,,11.0,2024,160
4.0,2:44,4.0,2.0,IND 17,22.0,27.0,Anders Carlson 35 yard field goal good,2.44,3.0,11.0,2024,160
4.0,2:41,,,NYJ 35,22.0,27.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,160
4.0,2:41,1.0,10.0,IND 30,22.0,27.0,Anthony Richardson left guard for 4 yards (tackle by Micheal Clemons and Quinnen Williams),0.94,0.93,11.0,2024,160
4.0,2:15,2.0,6.0,IND 34,22.0,27.0,Anthony Richardson pass complete deep right to Alec Pierce for 39 yards (tackle by Jalen Mills),0.93,3.78,11.0,2024,160
4.0,2:00,1.0,10.0,NYJ 27,22.0,27.0,Anthony Richardson pass complete deep left to Josh Downs for 17 yards (tackle by Isaiah Oliver),3.78,4.91,11.0,2024,160
4.0,1:34,1.0,10.0,NYJ 10,22.0,27.0,Anthony Richardson pass complete short right to Michael Pittman for 4 yards (tackle by Isaiah Oliver),4.91,4.95,11.0,2024,160
4.0,1:29,,,,,,Timeout #3 by New York Jets,,,11.0,2024,160
4.0,1:29,2.0,6.0,NYJ 6,22.0,27.0,Jonathan Taylor right guard for 2 yards (tackle by Will McDonald and Micheal Clemons),4.95,4.49,11.0,2024,160
4.0,0:51,3.0,4.0,NYJ 4,28.0,27.0,"Anthony Richardson left end for 4 yards, touchdown",4.49,7.0,11.0,2024,160
4.0,0:46,,,NYJ 2,28.0,27.0,"Two Point Attempt: Jonathan Taylor rushes, conversion fails.",1.0,-1.0,11.0,2024,160
4.0,0:46,,,IND 35,28.0,27.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,160
4.0,0:46,1.0,10.0,NYJ 30,28.0,27.0,"Aaron Rodgers sacked by Kwity Paye for -10 yards. Aaron Rodgers fumbles (forced by Kwity Paye), recovered by Tyler Conklin at NYJ-20 and returned for -3 yards (tackle by DeForest Buckner)",0.94,-1.5,11.0,2024,160
4.0,0:22,2.0,23.0,NYJ 17,28.0,27.0,"Aaron Rodgers pass complete short middle to Breece Hall for 11 yards (tackle by Kenny Moore and E.J. Speed). Penalty on E.J. Speed: Defensive Delay of Game, 5 yards (accepted)",-1.5,0.1,11.0,2024,160
4.0,0:15,3.0,7.0,NYJ 33,28.0,27.0,Aaron Rodgers sacked by Kwity Paye for -5 yards,0.1,-1.5,11.0,2024,160
