Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
4.0,14:18,1.0,10.0,CIN 36,13.0,27.0,Anthony Brown pass complete deep middle to Isaiah Likely for 22 yards (tackle by Jessie Bates and Logan Wilson),3.18,4.65,18.0,2022,259
4.0,13:52,1.0,10.0,CIN 14,13.0,27.0,Kenyan Drake left end for 5 yards (tackle by Eli Apple),4.65,4.9,18.0,2022,259
4.0,13:12,2.0,5.0,CIN 9,13.0,27.0,Anthony Brown pass incomplete short middle intended for Isaiah Likely (defended by Logan Wilson),4.9,4.05,18.0,2022,259
4.0,13:07,3.0,5.0,CIN 9,13.0,27.0,Anthony Brown sacked by Joseph Ossai for no gain,4.05,2.88,18.0,2022,259
4.0,12:19,4.0,5.0,CIN 9,16.0,27.0,Justin Tucker 27 yard field goal good,2.88,3.0,18.0,2022,259
4.0,12:17,,,BAL 35,16.0,27.0,"Justin Tucker kicks off 54 yards, returned by Trayveon Williams for 29 yards (tackle by Tylan Wallace)",0.0,1.6,18.0,2022,259
4.0,12:10,1.0,10.0,CIN 40,16.0,27.0,Joe Mixon right guard for 5 yards (tackle by Patrick Queen),1.6,1.73,18.0,2022,259
4.0,11:34,2.0,5.0,CIN 45,16.0,27.0,Joe Burrow pass incomplete deep middle intended for Tyler Boyd,1.73,1.03,18.0,2022,259
4.0,11:29,3.0,5.0,CIN 45,16.0,27.0,Joe Burrow sacked by and Justin Houston for -8 yards and Odafe Oweh for -8 yards,1.03,-0.91,18.0,2022,259
4.0,10:47,4.0,13.0,CIN 37,16.0,27.0,"Drue Chrisman punts 52 yards, fair catch by James Proche at BAL-11",-0.91,0.37,18.0,2022,259
4.0,10:39,1.0,10.0,BAL 11,16.0,27.0,Kenyan Drake right tackle for 2 yards (tackle by Vonn Bell),-0.37,-0.63,18.0,2022,259
4.0,10:14,2.0,8.0,BAL 13,16.0,27.0,Anthony Brown pass incomplete short middle intended for Charlie Kolar (defended by Vonn Bell),-0.63,-1.19,18.0,2022,259
4.0,10:10,3.0,8.0,BAL 13,16.0,27.0,Anthony Brown sacked by Trey Hendrickson for -3 yards,-1.19,-2.49,18.0,2022,259
4.0,9:34,4.0,11.0,BAL 10,16.0,27.0,"Jordan Stout punts 54 yards, returned by Trent Taylor for 9 yards (tackle by Justice Hill). Penalty on Justice Hill: Player Out of Bounds on a Punt, 5 yards (accepted)",-2.49,-2.26,18.0,2022,259
4.0,9:23,1.0,10.0,CIN 50,16.0,27.0,Joe Mixon up the middle for 1 yard (tackle by Broderick Washington),2.26,1.85,18.0,2022,259
4.0,8:46,2.0,9.0,BAL 49,16.0,27.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Roquan Smith and Marcus Williams),1.85,2.21,18.0,2022,259
4.0,8:21,3.0,1.0,BAL 41,16.0,27.0,Joe Burrow up the middle for no gain (tackle by Justin Madubuike),2.21,0.53,18.0,2022,259
4.0,7:20,,,,,,Timeout #2 by Baltimore Ravens,,,18.0,2022,259
4.0,7:20,4.0,1.0,BAL 41,16.0,27.0,Joe Burrow pass incomplete short right,0.53,-1.66,18.0,2022,259
4.0,7:18,1.0,10.0,BAL 41,16.0,27.0,Anthony Brown pass complete short left to Demarcus Robinson for 13 yards (tackle by Eli Apple),1.66,2.52,18.0,2022,259
4.0,6:53,1.0,10.0,CIN 46,16.0,27.0,Kenyan Drake left guard for 1 yard (tackle by Jessie Bates),2.52,2.11,18.0,2022,259
4.0,6:11,2.0,9.0,CIN 45,16.0,27.0,"Anthony Brown pass incomplete short left intended for Demarcus Robinson BAL challenged the pass completion ruling, and the play was upheld.",2.11,1.42,18.0,2022,259
